mission_id,waypoint_id,x,y,z,timestamp,start_time,duration_minutes,status,status_timestamp
SIM_0001,1,209.26242966977304,319.9568913518451,246.5022182391328,2025-11-13 20:56:36.608305,2025-11-13 20:56:36.608305,138.0,active,2025-11-12 20:56:36.609140
SIM_0001,2,-138.30307193154442,779.7041719226767,308.00584786195776,2025-11-13 21:42:36.608305,2025-11-13 20:56:36.608305,138.0,active,2025-11-12 20:56:36.609140
SIM_0001,3,-341.6015743020905,542.0353558395406,239.7150425508762,2025-11-13 22:28:36.608305,2025-11-13 20:56:36.608305,138.0,active,2025-11-12 20:56:36.609140
SIM_0002,1,722.9344856794748,688.0504604200162,250.6997335667857,2025-11-13 15:56:36.609203,2025-11-13 15:56:36.609203,154.0,active,2025-11-12 20:56:36.609613
SIM_0002,2,1134.0070119166471,571.705016820856,189.7692693003469,2025-11-13 16:47:56.609203,2025-11-13 15:56:36.609203,154.0,active,2025-11-12 20:56:36.609613
SIM_0002,3,807.4892067380276,923.3029067120406,227.98844652641836,2025-11-13 17:39:16.609203,2025-11-13 15:56:36.609203,154.0,active,2025-11-12 20:56:36.609613
SIM_0003,1,-1033.8349406968157,-646.1447943786757,260.12345134643,2025-11-12 20:56:36.609644,2025-11-12 20:56:36.609644,130.0,active,2025-11-12 20:56:36.609923
SIM_0003,2,-1430.760504465218,-685.7752621617242,303.6949452649925,2025-11-12 21:12:51.609644,2025-11-12 20:56:36.609644,130.0,active,2025-11-12 20:56:36.609923
SIM_0003,3,-1401.811759230089,-679.8260207870779,384.9615176179824,2025-11-12 21:29:06.609644,2025-11-12 20:56:36.609644,130.0,active,2025-11-12 20:56:36.609923
SIM_0003,4,-943.0401991866892,-800.0324566930633,285.18791499327614,2025-11-12 21:45:21.609644,2025-11-12 20:56:36.609644,130.0,active,2025-11-12 20:56:36.609923
SIM_0003,5,-613.8800321390408,-1171.6491812004692,279.63348735009714,2025-11-12 22:01:36.609644,2025-11-12 20:56:36.609644,130.0,active,2025-11-12 20:56:36.609923
SIM_0003,6,-798.9114235964413,-572.5101086626892,284.2675257079477,2025-11-12 22:17:51.609644,2025-11-12 20:56:36.609644,130.0,active,2025-11-12 20:56:36.609923
SIM_0003,7,-957.4008462808818,-448.5565304801999,381.5504013877629,2025-11-12 22:34:06.609644,2025-11-12 20:56:36.609644,130.0,active,2025-11-12 20:56:36.609923
SIM_0003,8,-1025.6351452427234,-1375.4781717795322,254.7381263276465,2025-11-12 22:50:21.609644,2025-11-12 20:56:36.609644,130.0,active,2025-11-12 20:56:36.609923
SIM_0004,1,76.84141321683438,-1195.3022607619469,501.70268688106376,2025-11-13 20:56:36.609954,2025-11-13 20:56:36.609954,109.0,active,2025-11-12 20:56:36.610366
SIM_0004,2,23.59592427049523,-929.697753689527,552.2775808737739,2025-11-13 21:10:14.109954,2025-11-13 20:56:36.609954,109.0,active,2025-11-12 20:56:36.610366
SIM_0004,3,-163.71416040295514,-833.1839716707038,391.2422747093325,2025-11-13 21:23:51.609954,2025-11-13 20:56:36.609954,109.0,active,2025-11-12 20:56:36.610366
SIM_0004,4,-36.44445168661923,-1192.2654639211505,484.1155873899076,2025-11-13 21:37:29.109954,2025-11-13 20:56:36.609954,109.0,active,2025-11-12 20:56:36.610366
SIM_0004,5,353.3827511818423,-1068.20151736739,560.5830747418819,2025-11-13 21:51:06.609954,2025-11-13 20:56:36.609954,109.0,active,2025-11-12 20:56:36.610366
SIM_0004,6,607.7189838068174,-1220.639218706829,555.6278078264799,2025-11-13 22:04:44.109954,2025-11-13 20:56:36.609954,109.0,active,2025-11-12 20:56:36.610366
SIM_0004,7,-44.840406652708566,-1232.2746270586804,452.4988022305534,2025-11-13 22:18:21.609954,2025-11-13 20:56:36.609954,109.0,active,2025-11-12 20:56:36.610366
